venue,ranking,title,authors,year,citations,url,pdf_url,keywords
2019 IEEE/CVF International Conference on Computer Vision Workshop (ICCVW),1,Direct Validation of the Information Bottleneck Principle for Deep Nets,"A. Elad, D. Haviv, Yochai Blau, T. Michaeli",2019,26,https://www.semanticscholar.org/paper/8ece73955fda83cb4261d1ed98bc6ddeec677c86,,"Computer Science, Computer Science"
"2019 International Conference on Computing, Electronics & Communications Engineering (iCCECE)",1,Failure Mode & Effect Analysis for Improving Data Veracity and Validity,"Ana Elsa Hinojosa Herrera, C. Walshaw, C. Bailey, C. Yin",2019,3,https://www.semanticscholar.org/paper/03edf8461faa2c6dcd148076bbe236a826653698,http://gala.gre.ac.uk/id/eprint/24890/13/24890%20HINOJOSA-HERRERA_Failure_Mode_%26_Effect_Analysis_2019.pdf,"Computer Science, Engineering, Computer Science"
2019 International Conference on Innovative Sustainable Computational Technologies (CISCT),1,Design of Controller for Stock Consistency Control using H-Infinity Mixed Sensitivity Approach,"P. Saini, K. Charu, Manish Bisht",2019,3,https://www.semanticscholar.org/paper/2d1699e6b709c44fb286fcdddb5b3d4b3d9aff8d,,"Computer Science, Engineering"
"2020 2nd International Conference on Advances in Computer Technology, Information Science and Communications (CTISC)",1,Research on an improved practical byzantine fault tolerance algorithm,"Seybou Sakho, Jian-biao Zhang, Firdaous Essaf, Khalid Badiss, Tchewafei Abide, Julius Kibet Kiprop",2020,9,https://www.semanticscholar.org/paper/87abd8969c822aa4ca99c5bc66c94e47a1eab6a7,,"Computer Science, Computer Science"
2020 4th CAA International Conference on Vehicular Control and Intelligence (CVCI),1,A Game Theory-based Model Predictive Controller For Mandatory Lane Change Of Multiple Vehicles,"Shuang Pan, Yafei Wang, Kaizheng Wang",2020,6,https://www.semanticscholar.org/paper/933bce6a5f57252ed0bf544ff63305de7170c780,,"Computer Science, Engineering"
2020 6th International Conference on Big Data and Information Analytics (BigDIA),1,An Introductory Survey on Attention Mechanisms in Computer Vision Problems,"Jiahao Sun, Jie Jiang, Yang Liu",2020,20,https://www.semanticscholar.org/paper/ae4647c08312d5e3f1e39066995dc30c6a0204bc,,Computer Science
2020 IEEE 3rd International Conference on Information Communication and Signal Processing (ICICSP),1,Sonar echo signal processing based on Convolution Blind source separation,"Zhang Yan, Sheng-kai Sun, Liu Yue, Jia-qi Wang",2020,3,https://www.semanticscholar.org/paper/72b28eab73fa986f88217beaa38993cffb8cf342,,"Computer Science, Engineering, Computer Science"
2020 IEEE 5th Middle East and Africa Conference on Biomedical Engineering (MECBME),1,Comparison Between Independent Component Analysis and Wiener-Hopf Filter Techniques for Eye Blink Removal,"Sajedah Al-Momani, H. Al-Nashash, H. Mir",2020,2,https://www.semanticscholar.org/paper/aaf03de32298e068d86641de28c6edb0d2fc0a47,,"Computer Science, Medicine, Engineering"
2020 IEEE International Conference on Communications Workshops (ICC Workshops),1,Blockchain-Based Multi-Tier Double Auctions for Smart Energy Distribution Grids,"Marius Stübs, Wolf Posdorfer, Sadaf Momeni",2020,28,https://www.semanticscholar.org/paper/e589061b42f842d6175b040f74d9087084cdeac5,,"Computer Science, Engineering, Environmental Science, Computer Science"
2020 IEEE/ACM 42nd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),1,Uncertainty-Guided Testing and Robustness Enhancement for Deep Learning Systems,Xiyue Zhang,2020,6,https://www.semanticscholar.org/paper/bccf0f651058cc5583010ddbe338ca468a33c5fd,,"Computer Science, Computer Science, Engineering"
2020 International Conference on Advanced Science and Engineering (ICOASE),1,Enhance the Performance of Independent Component Analysis for Text Classification by Using Particle Swarm Optimization,"H. Shabat, N. Abbas",2020,5,https://www.semanticscholar.org/paper/221b63be46342502b1aae95370617107890830f9,,Computer Science
2020 International Conference on Computational Science and Computational Intelligence (CSCI),1,A Review of Machine Learning and Cryptography Applications,"Korn Sooksatra, Pablo Rivas",2020,8,https://www.semanticscholar.org/paper/69c4804a81b73ae4e577300bb450afb53d824614,,Computer Science
"2020 International Conference on Computer, Control, Electrical, and Electronics Engineering (ICCCEEE)",1,Independent Component Analysis and Extended Kalman Filter for ECG signal filtering,"Tasnim A. A. Mohammed, Ayman E. O. Hassan, A. Ferikoglu",2021,3,https://www.semanticscholar.org/paper/1c1e7a792109de92cb76d0db953863c1b5aa3436,,"Engineering, Medicine"
2020 International Conference on Data Mining Workshops (ICDMW),1,Interpreting Deep Neural Networks through Prototype Factorization,"Subhajit Das, Panpan Xu, Zeng Dai, A. Endert, Liu Ren",2020,12,https://www.semanticscholar.org/paper/3e34cad30e913b073aeb054b6eaf2174815e0b6f,,"Computer Science, Computer Science"
2020 International Conference on Smart Energy Systems and Technologies (SEST),1,Designing a Distribution Level Flexibility Market using Mechanism Design and Optimal Power Flow,"Konstantinos Seklos, Georgios Tsaousoglou, Konstantinos Steriotis, N. Efthymiopoulos, Prodromos Makris, Emmanouel A. Varvarigos",2020,7,https://www.semanticscholar.org/paper/1ecf1f75e2886d205f34de98f40dcd6331a6f13f,,"Computer Science, Engineering, Economics, Environmental Science"
2020 Systems of Signals Generating and Processing in the Field of on Board Communications,1,"Testing, Verification and Validation of Distributed Ledger Systems",K. Pankov,2020,8,https://www.semanticscholar.org/paper/36dabb81f8496c570330c9ef7920317040a8c92f,,"Computer Science, Computer Science, Engineering"
2021 10th International Conference On Software Process Improvement (CIMPS),1,Enhancement to test case prioritization through object-oriented software architectural design,"L. D. Nicanor, H.R.O. Aguirre, Maricela Quintana López y Abraham Banda Madrid",2021,1,https://www.semanticscholar.org/paper/8541f8c9570f102d912fc65e8c6af17865d6f0f9,,"Computer Science, Engineering"
"2021 14th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)",1,Deep Residual Convolutional Sparse Coding Networks for Low Dose CT Imaging,"Jin Liu, Zhenyu Xia, Yanqin Kang, Jun Qiang",2021,2,https://www.semanticscholar.org/paper/87ba1ec41e56db9b590ac6f7958abbc801b9a7b1,,"Computer Science, Medicine, Computer Science, Engineering"
2021 29th Iranian Conference on Electrical Engineering (ICEE),1,An incentive compatible reward sharing approach for shard-based blockchains,"M. Hemati, M. Shajari",2021,1,https://www.semanticscholar.org/paper/ab1d16a6035a9c1cdb1c1383117c948965dd878c,,Computer Science
2021 2nd International Conference on Artificial Intelligence and Education (ICAIE),1,Responsible AI: The Revolution in Governance Technology in China,"Chaomin Li, Lei Yang",2021,1,https://www.semanticscholar.org/paper/467dc3ecfec931adb0ecafd67ac093022b07b875,,"Political Science, Computer Science"
"2021 4th International Conference on Energy, Electrical and Power Engineering (CEEPE)",1,Distributed Transaction Cooperative Game Strategy with Network Fee is Considered,"Xiaodan Zhuang, Xinsen Zhang, Yu Sun, Xiang Zhou, Jian Geng, A. Chen",2021,1,https://www.semanticscholar.org/paper/a23a135996469c767bd172f9787d514ae3ec0822,,"Economics, Engineering, Computer Science"
2021 5th CAA International Conference on Vehicular Control and Intelligence (CVCI),1,A Novel Incremental Control Method Based on H-infinity Control for Lane Keeping Assist,"Ning Yan, Cong-zhi Liu, Qinbao Sun",2021,3,https://www.semanticscholar.org/paper/1cc13c3940d453019de1ce45944e7dc02bb02245,,Engineering
2021 6th International Conference on Information Technology Research (ICITR),1,Cheating Detection in Browser-based Online Exams through Eye Gaze Tracking,"Nimesha Dilini, A. Senaratne, T. Yasarathna, N. Warnajith, Leelanga Seneviratne",2021,13,https://www.semanticscholar.org/paper/ecb1d1c9f2828654091fe6815c2298ba0da845c6,,"Computer Science, Education"
2021 6th International Conference on Smart Grid and Electrical Automation (ICSGEA),1,The Application of Independent Component Analysis in Removing the Noise of EEG Signal,"Yang Chen, Song Xue, Dezhi Li, Xiaozhong Geng",2021,10,https://www.semanticscholar.org/paper/7c2017ddd5882e154bb026bf045e916ef0b96ec1,,"Computer Science, Medicine"
2021 7th International Conference on Hydraulic and Civil Engineering & Smart Water Conservancy and Intelligent Disaster Reduction Forum (ICHCE & SWIDR),1,Application of Computer Vision on Displacement Monitoring System,"Ketian Cai, Jian Wang, Kun Yuan, Pengfei Li",2021,1,https://www.semanticscholar.org/paper/bdef8abfc3f1c3ec5da9b34763b64fcaba792528,,"Engineering, Computer Science"
2021 Asian Conference on Innovation in Technology (ASIANCON),1,Design of H-Infinity controller for BLDC Motor through Mixed Sensitivity Approach,"P. Saini, Ashutosh Dixit, K. Charu, Niharika Varshney",2021,5,https://www.semanticscholar.org/paper/8002cc1173df11943a789cdc2fb4e59c795695bf,,Engineering
2021 IEEE 19th International Symposium on Antenna Technology and Applied Electromagnetics (ANTEM),1,Spectral Floquet analysis devoted to meta-surface applied for 5G and planned 6G antenna designs,"B. Hamdi, T. Aguili",2021,3,https://www.semanticscholar.org/paper/a9e48f1ce498d8a00b5a23adde04a45ddea24c9f,,"Engineering, Physics"
"2021 IEEE 23rd Int Conf on High Performance Computing & Communications; 7th Int Conf on Data Science & Systems; 19th Int Conf on Smart City; 7th Int Conf on Dependability in Sensor, Cloud & Big Data Systems & Application (HPCC/DSS/SmartCity/DependSys)",1,An Explainable Intrusion Detection System,"Yun Wang, Pan Wang, Zixuan Wang, MengTing Cao",2021,4,https://www.semanticscholar.org/paper/b6e87900c92c06a60ea19d1d5ffa6740cadc7c9d,,"Computer Science, Computer Science"
2021 IEEE 5th Conference on Energy Internet and Energy System Integration (EI2),1,A Design of Additional Damping Control for Power System with High Proportion Hydropower Units Based on H-infinity Robust Control Theory,Yang Min,2021,2,https://www.semanticscholar.org/paper/0cd3e90fbc9a5517aca0c5453dcf1cd55ecb5634,,Engineering
"2021 IEEE 5th International Conference on Information Technology, Information Systems and Electrical Engineering (ICITISEE)",1,Determining Bring Your Own Device (Byod) Security Policy Compliance Among Malaysian Teleworkers: Perceived Cybersecurity Governance as Moderator,"Chang Hai Goh, Ai Ping Teoh",2021,2,https://www.semanticscholar.org/paper/257843fda58b95fc56133f3168e135d72d604fb6,,"Computer Science, Business"
"2021 IEEE 9th International Conference on Information, Communication and Networks (ICICN)",1,Analysis of Scientific Research Cooperation Network in Cyberspace Security,Shan-cheng Pei,2021,1,https://www.semanticscholar.org/paper/d7aba61ce04687ae2f5c9429ba385a0a09e065e0,,"Computer Science, Political Science"
2021 IEEE International Conference on Mechatronics and Automation (ICMA),1,Model Reference Scheduling and Robust Resilient H-infinity Control Co-design with Time-delay,Shunli Zhao,2021,1,https://www.semanticscholar.org/paper/1df0ed1744f1410b178be248b7b3735a7dd668d8,,"Engineering, Computer Science"
"2021 IEEE International Conference on Power, Intelligent Computing and Systems (ICPICS)",1,H-infinity Mixed Sensitivity Control of Dual Active Bridge DC-DC Converter,"Haoyan Ren, Lei Ma",2021,5,https://www.semanticscholar.org/paper/02fdc3ff419f7e0843fba360d4f9afa0529cbfd4,,Engineering
2021 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),1,MC-FGSM: Black-box Adversarial Attack for Deep Learning System,"Wenqiang Zheng, Yanfang Li",2021,2,https://www.semanticscholar.org/paper/1d87e830772d5069d24e43d694b7d510173f52be,,"Computer Science, Computer Science, Engineering"
"2021 IEEE Intl Conf on Dependable, Autonomic and Secure Computing, Intl Conf on Pervasive Intelligence and Computing, Intl Conf on Cloud and Big Data Computing, Intl Conf on Cyber Science and Technology Congress (DASC/PiCom/CBDCom/CyberSciTech)",1,Using information entropy to analyze secure multi-party computation protocol,"Yun Luo, Yuling Chen, Tao Li, Yilei Wang, Yixian Yang",2021,2,https://www.semanticscholar.org/paper/94eb137d8faab2c81605f598870477fbd50954ae,,"Computer Science, Computer Science"
2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),1,Learning Unbiased Representations via Mutual Information Backpropagation,"R. Ragonesi, Riccardo Volpi, Jacopo Cavazza, Vittorio Murino",2020,31,https://www.semanticscholar.org/paper/4c6207a203bcc7b725c41ed9c7451041530bf556,https://arxiv.org/pdf/2003.06430,"Computer Science, Computer Science, Mathematics"
2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),2,Renofeation: A Simple Transfer Learning Method for Improved Adversarial Robustness,"Ting-Wu Chin, Cha Zhang, D. Marculescu",2021,9,https://www.semanticscholar.org/paper/e380528fd189cf34ea86e557151fa050ae954be2,https://arxiv.org/pdf/2002.02998,"Computer Science, Computer Science, Engineering"
2021 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW),1,Multimodal Continuous Visual Attention Mechanisms,"António Farinhas, André F. T. Martins, P. Aguiar",2021,7,https://www.semanticscholar.org/paper/d1689d7cac366d484d3f58d15922bc5fc8d33565,https://arxiv.org/pdf/2104.03046,"Computer Science, Computer Science"
2021 IEEE/IAS Industrial and Commercial Power System Asia (I&CPS Asia),1,Application and Prospect of Behavioral Economics in the Field of Power System Economic Decision Based on Prospect Theory,"Yang Hu, Lei Gan, Xingying Chen, Gengyin Li, Kun Yu",2021,1,https://www.semanticscholar.org/paper/abb7e0c3b6f8164f9c6ee452934bdb6170e76c69,,"Economics, Engineering"
"2021 International Conference on Big Data, Artificial Intelligence and Risk Management (ICBAR)",1,Research on data security governance based on artificial intelligence technology,"Xianghui Tao, Haohao Zhang",2021,3,https://www.semanticscholar.org/paper/94c879bfc29aab565cc4268eb7daad99b23d1d83,,"Computer Science, Political Science"
"2021 International Conference on Communications, Information System and Computer Engineering (CISCE)",1,The Current Status and progress of Adversarial Examples Attacks,"Chaoran Yuan, Xiaobin Liu, Zhengyuan Zhang",2021,9,https://www.semanticscholar.org/paper/5870a1691ecd043ea6d88e0b03e247afb1b0dd91,,Computer Science
2021 International Conference on Computational Science and Computational Intelligence (CSCI),1,Computer Science Theory from a Practical Point of View,P. Maurer,2021,1,https://www.semanticscholar.org/paper/92301ce4cd306dadf222eb9703acfa5404cfd89e,,"Computer Science, Computer Science"
"2021 International Conference on Computing, Communication, and Intelligent Systems (ICCCIS)",1,Machine Learning for Interpretation of Brain Images: A Detailed Analysis through survey,B. C,2021,1,https://www.semanticscholar.org/paper/395e9848dcff8519ce1ce3c4b6e08bd176a10538,,"Medicine, Computer Science"
"2022 10th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)",1,Pre-processing of EEG signal using Independent Component Analysis,"Bhawna Kaliraman, Sweety Nain, Rashmi Verma, Monika Thakran, Yash Dhankhar, Parli B. Hari",2022,5,https://www.semanticscholar.org/paper/88c3477450375629ecba5ae42e4251808868ebb4,,"Medicine, Computer Science"
2022 6th International Conference on Robotics and Automation Sciences (ICRAS),1,Distributed Robust H-infinity Control Based on Load Frequency Control of Interconnected Energy under Bounded Disturbances,"Ji Wu, Xiaoming Tang",2022,4,https://www.semanticscholar.org/paper/c125de02df62a2e63a6ff66a73604663ba3e37aa,,"Engineering, Physics"
2022 8th International Conference on Big Data and Information Analytics (BigDIA),1,A Robust Approach to Adversarial Attack on Tabular Data for Classification Algorithm Testing,"Lunhao Ju, Ruijing Cui, Jianbin Sun, Zituo Li",2022,3,https://www.semanticscholar.org/paper/fef889995bf6853d811e18129ee940a53cb62d5f,,Computer Science
2022 8th International Conference on Smart Structures and Systems (ICSSS),1,Performance analysis of ICA algorithm for Blind Source Separation,"M. Ezilarasan, J. B. Pari, K. Aanandhasaravanan, N. Prasanna, D. Balaji",2022,2,https://www.semanticscholar.org/paper/e29354025a494d8068d60b44c35c3559dfc170f4,,"Computer Science, Engineering"
2022 Advances in Science and Engineering Technology International Conferences (ASET),1,Smart Classroom: A Deep Learning Approach towards Attention Assessment through Class Behavior Detection,"M. Parambil, Luqman Ali, F. Alnajjar, Munkhjargal Gochoo",2022,18,https://www.semanticscholar.org/paper/e63681ef626fe2860824adb4f0e050db1b333790,,"Computer Science, Education"
2022 IEEE 11th Data Driven Control and Learning Systems Conference (DDCLS),1,An Improved Multi-agent based Data Driven Distributed Adaptive Cooperative Control in Traffic Network Signal Timing,"Honghai Ji, Hu Yin, Ye Ren, Li Wang, Shida Liu",2022,4,https://www.semanticscholar.org/paper/ad62f9de5a1e75a5e6262217aee4744f38c5899b,,"Engineering, Computer Science"
2022 IEEE 5th International Electrical and Energy Conference (CIEEC),1,Analysis of the decision-making process of prosumers in the transactive energy market : From the perspective of traditional economics and behavioral economics,"Xin Jing, Meng Song, Ciwei Gao, Chaoliang Wang, L. Li, Wei Liu",2022,3,https://www.semanticscholar.org/paper/6d8d152b5eb691c6a39be38b2a93b5a92116ffbe,,"Economics, Environmental Science"
2022 IEEE Conference on Games (CoG),1,Turing Test Framework for Cooperative Games,"In-Chang Baek, Taehwa Park, Taegwan Ha, Kyung-Joong Kim",2022,1,https://www.semanticscholar.org/paper/90ccf588263977b4923c76c497f4ad05e05f0b89,,"Computer Science, Computer Science"
2022 IEEE Globecom Workshops (GC Wkshps),1,Joint Source-Channel Coding for Efficient Image Transmission: An Information Bottleneck Based Scheme,"Lunan Sun, Caili Guo, Yang Yang",2022,3,https://www.semanticscholar.org/paper/30195b57e6e7a1b80d14fe552e6d088c7b468040,,"Computer Science, Computer Science"
2022 IEEE IAS Global Conference on Emerging Technologies (GlobConET),1,Decentralized Cooperation Control for Formation Flying Spacecraft,"Ahmed A. Alzubairi, Belkacem Kada, Abdullah Y. Tameem",2022,1,https://www.semanticscholar.org/paper/644d8c1e7a592bd328be7c8a1fb9b51443a40b0a,,"Engineering, Physics"
2022 IEEE International Conference on Big Data (Big Data),1,An Improved Vulnerability Detection System of Smart Contracts Based on Symbolic Execution,"Yao Yao, Hui Li, Xin Yang, Yiwang Le",2022,8,https://www.semanticscholar.org/paper/7d931a9994804554beadfaf627ce5a8bd5e07fa8,,"Computer Science, Computer Science"
2022 IEEE International Conference on Big Data (Big Data),2,A User and Entity Behavior Analytics Log Data Set for Anomaly Detection in Cloud Computing,"Max Landauer, Florian Skopik, Georg Höld, Markus Wurzenberger",2022,5,https://www.semanticscholar.org/paper/b263c973cbf149cdd8c2bd00a4db6be80670d82b,,"Computer Science, Computer Science"
2022 IEEE International Conference on Big Data (Big Data),3,A Genetic Algorithm For Boolean Semiring Matrix Factorization With Applications To Graph Mining,"G. Drakopoulos, Phivos Mylonas",2022,4,https://www.semanticscholar.org/paper/817ece7d1999a5c526fd20c164f849c04a45226f,,"Computer Science, Computer Science, Mathematics"
2022 IEEE International Conference on Big Data (Big Data),4,Efficient Data Analytics on Augmented Similarity Triplets,"Muhammad Ahmad, M. Shakeel, Sarwan Ali, Imdadullah Khan, Arif Zaman, Asim Karim",2019,1,https://www.semanticscholar.org/paper/83d19346dac444ead6c35efc09d2ca94ed30b8b0,http://arxiv.org/pdf/1912.12064,"Computer Science, Mathematics, Computer Science"
2022 IEEE International Conference on Data Mining Workshops (ICDMW),1,ULTRA: A Data-driven Approach for Recommending Team Formation in Response to Proposal Calls,"Biplav Srivastava, T. Koppel, Ronak Shah, Owen Bond, Sai Teja Paladi, Rohit Sharma, A. Hetherington",2022,4,https://www.semanticscholar.org/paper/ab1a34d64afd9827b58cc7a7bbaeb6635601b5b8,http://arxiv.org/pdf/2201.05646,"Computer Science, Computer Science"
2022 IEEE International Conference on Distributed Computing and Electrical Circuits and Electronics (ICDCECE),1,"Offensive Security: Study on Penetration Testing Attacks, Methods, and their Types","Altynai Aibekova, Vinesha Selvarajah",2022,16,https://www.semanticscholar.org/paper/9ddcf6be7ea560e5eb4d295a92716264901e6f68,,Computer Science
2022 IEEE Security and Privacy Workshops (SPW),1,Parameterizing Activation Functions for Adversarial Robustness,"Sihui Dai, Saeed Mahloujifar, Prateek Mittal",2021,33,https://www.semanticscholar.org/paper/ba451a3f88b0f1e08bd5cda55c99d96a88a39c71,https://arxiv.org/pdf/2110.05626,"Computer Science, Computer Science"
